epoch,iteration,weight_index,arg_1,arg_2,arg_3,arg_4,arg_5,arg_6,arg_7,arg_8
1,1,0,0.2040813945508363,4.0,0.05102034863770907,0.0051020348637709064,2.6030759751133846e-06,1.0,0.05102034863770907,0.0026030759751133822
1,1,1,0.09781024070679567,4.0,0.024452560176698918,0.0024452560176698914,5.979276991950823e-07,1.0,0.02445256017669892,0.0005979276991950818
1,1,2,-0.20708931535807085,4.0,-0.05177232883951771,-0.00517723288395177,2.6803740334671598e-06,1.0,-0.05177232883951771,0.0026803740334671576
1,2,0,0.2040813945508363,4.0,0.05102034863770907,0.0051020348637709064,2.6030759751133846e-06,1.0,0.05102034863770907,0.0026030759751133822
1,2,1,0.09781024070679567,4.0,0.024452560176698918,0.0024452560176698914,5.979276991950823e-07,1.0,0.02445256017669892,0.0005979276991950818
1,2,2,-0.20708931535807085,4.0,-0.05177232883951771,-0.00517723288395177,2.6803740334671598e-06,1.0,-0.05177232883951771,0.0026803740334671576
1,3,0,0.2040813945508363,4.0,0.05102034863770907,0.0051020348637709064,2.6030759751133846e-06,1.0,0.05102034863770907,0.0026030759751133822
1,3,1,0.09781024070679567,4.0,0.024452560176698918,0.0024452560176698914,5.979276991950823e-07,1.0,0.02445256017669892,0.0005979276991950818
1,3,2,-0.20708931535807085,4.0,-0.05177232883951771,-0.00517723288395177,2.6803740334671598e-06,1.0,-0.05177232883951771,0.0026803740334671576
1,4,0,0.2040813945508363,4.0,0.05102034863770907,0.0051020348637709064,2.6030759751133846e-06,1.0,0.05102034863770907,0.0026030759751133822
1,4,1,0.09781024070679567,4.0,0.024452560176698918,0.0024452560176698914,5.979276991950823e-07,1.0,0.02445256017669892,0.0005979276991950818
1,4,2,-0.20708931535807085,4.0,-0.05177232883951771,-0.00517723288395177,2.6803740334671598e-06,1.0,-0.05177232883951771,0.0026803740334671576
